0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kevin Garnett, PF",Boston Celtics,"$24,751,934"
2,"Jason Kidd, PG",Dallas Mavericks,"$21,372,000"
3,"Jermaine O'Neal, C",Miami Heat,"$21,372,000"
4,"Kobe Bryant, SF",Los Angeles Lakers,"$21,262,500"
5,"Shaquille O'Neal, C",Phoenix Suns,"$21,000,000"
6,"Allen Iverson, SG",Detroit Pistons,"$20,840,625"
7,"Stephon Marbury, PG",Boston Celtics,"$20,840,625"
8,"Tim Duncan, C",San Antonio Spurs,"$20,598,704"
9,"Tracy McGrady, SG",Houston Rockets,"$20,370,437"
10,"Ray Allen, SG",Boston Celtics,"$18,388,430"
RK,NAME,TEAM,SALARY
11,"Dirk Nowitzki, F",Dallas Mavericks,"$18,077,904"
12,"Paul Pierce, SF",Boston Celtics,"$18,077,903"
13,"Shawn Marion, SG",Toronto Raptors,"$17,810,000"
14,"Rashard Lewis, PF",Orlando Magic,"$16,447,871"
15,"Michael Redd, SG",Milwaukee Bucks,"$15,780,000"
16,"Pau Gasol, PF",Los Angeles Lakers,"$15,106,000"
17,"Andrei Kirilenko, SF",Utah Jazz,"$15,106,000"
18,"Amar'e Stoudemire, C",Phoenix Suns,"$15,070,550"
19,"Yao Ming, C",Houston Rockets,"$15,070,550"
20,"Mike Bibby, PG",Atlanta Hawks,"$14,983,603"
RK,NAME,TEAM,SALARY
21,"Vince Carter, G",New Jersey Nets,"$14,724,125"
22,"Zach Randolph, F",LA Clippers,"$14,666,667"
23,"Gilbert Arenas, PG",Washington Wizards,"$14,653,466"
24,"Ben Wallace, PF",Cleveland Cavaliers,"$14,500,000"
25,"Kenyon Martin, PF",Denver Nuggets,"$14,431,816"
26,"Dwyane Wade, G",Miami Heat,"$14,410,581"
27,"Chris Bosh, PF",Toronto Raptors,"$14,410,581"
28,"Carmelo Anthony, PF",Denver Nuggets,"$14,410,581"
29,"LeBron James, SF",Cleveland Cavaliers,"$14,410,581"
30,"Joe Johnson, G",Atlanta Hawks,"$14,232,567"
RK,NAME,TEAM,SALARY
31,"Lamar Odom, PF",Los Angeles Lakers,"$14,148,596"
32,"Rasheed Wallace, PF",Detroit Pistons,"$13,930,000"
33,"Wally Szczerbiak, SG",Cleveland Cavaliers,"$13,775,000"
34,"Dwight Howard, C",Orlando Magic,"$13,758,000"
35,"Elton Brand, PF",Philadelphia 76ers,"$13,757,844"
36,"Richard Jefferson, F",Milwaukee Bucks,"$13,200,000"
37,"Larry Hughes, SG",New York Knicks,"$12,827,676"
38,"Raef LaFrentz, C",Portland Trail Blazers,"$12,722,500"
39,"Peja Stojakovic, SF",New Orleans Hornets,"$12,528,000"
40,"Steve Nash, PG",Phoenix Suns,"$12,250,000"
RK,NAME,TEAM,SALARY
41,"Jason Richardson, SG",Phoenix Suns,"$12,222,221"
42,"Carlos Boozer, PF",Utah Jazz,"$11,593,817"
43,"Erick Dampier, C",Dallas Mavericks,"$11,553,000"
44,"Tony Parker, G",San Antonio Spurs,"$11,550,000"
45,"Brad Miller, C",Chicago Bulls,"$11,375,000"
46,"Tyson Chandler, C",New Orleans Hornets,"$11,350,000"
47,"Andre Iguodala, F",Philadelphia 76ers,"$11,300,000"
48,"Baron Davis, PG",LA Clippers,"$11,250,000"
49,"Samuel Dalembert, C",Philadelphia 76ers,"$11,238,564"
50,"Chauncey Billups, PG",Denver Nuggets,"$11,050,000"
RK,NAME,TEAM,SALARY
51,"Monta Ellis, SG",Golden State Warriors,"$11,000,000"
52,"Al Jefferson, C",Minnesota Timberwolves,"$11,000,000"
53,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$10,841,615"
54,"Richard Hamilton, SG",Detroit Pistons,"$10,812,500"
55,"Bobby Simmons, SF",New Jersey Nets,"$10,602,667"
56,"Andre Miller, PG",Philadelphia 76ers,"$10,333,334"
57,"Troy Murphy, PF",Indiana Pacers,"$10,126,984"
58,"Marcus Camby, C",LA Clippers,"$10,000,000"
59,"Josh Smith, PF",Atlanta Hawks,"$10,000,000"
60,"Kirk Hinrich, SG",Chicago Bulls,"$10,000,000"
RK,NAME,TEAM,SALARY
61,"Josh Howard, SF",Dallas Mavericks,"$9,945,000"
62,"Antawn Jamison, PF",Washington Wizards,"$9,923,285"
63,"Manu Ginobili, G",San Antonio Spurs,"$9,905,248"
64,"David West, F",New Orleans Hornets,"$9,862,500"
65,"Eddy Curry, NA",New York Knicks,"$9,723,983"
66,"Nene Hilario, C",Denver Nuggets,"$9,680,000"
67,"Emeka Okafor, C",Charlotte Bobcats,"$9,537,500"
68,"Chris Kaman, C",LA Clippers,"$9,500,000"
69,"Gerald Wallace, SF",Charlotte Bobcats,"$9,500,000"
70,"Tayshaun Prince, SF",Detroit Pistons,"$9,500,000"
RK,NAME,TEAM,SALARY
71,"Luol Deng, F",Chicago Bulls,"$9,385,000"
72,"Caron Butler, SF",Washington Wizards,"$9,249,980"
73,"Al Harrington, PF",New York Knicks,"$9,226,250"
74,"Jason Terry, G",Dallas Mavericks,"$9,196,000"
75,"Antoine Walker, PF",Minnesota Timberwolves,"$9,052,460"
76,"Mike Miller, SG",Minnesota Timberwolves,"$9,028,575"
77,"Andris Biedrins, C",Golden State Warriors,"$9,000,000"
78,"Boris Diaw, C",Charlotte Bobcats,"$9,000,000"
79,"Mike Dunleavy, SG",Indiana Pacers,"$9,000,000"
80,"Cuttino Mobley, SG",LA Clippers,"$8,925,000"
RK,NAME,TEAM,SALARY
81,"Kevin Martin, SG",Sacramento Kings,"$8,760,335"
82,"Quentin Richardson, SF",New York Knicks,"$8,685,500"
83,"Jamal Crawford, G",Golden State Warriors,"$8,640,000"
84,"Kenny Thomas, PF",Sacramento Kings,"$8,562,500"
85,"Mark Blount, C",Miami Heat,"$8,513,916"
86,"Mehmet Okur, C",Utah Jazz,"$8,500,000"
87,"Rasho Nesterovic, C",Indiana Pacers,"$8,400,000"
88,"Mo Williams, PG",Cleveland Cavaliers,"$8,353,000"
89,"Corey Maggette, SF",Golden State Warriors,"$8,275,862"
90,"Andres Nocioni, SF",Sacramento Kings,"$8,000,000"
RK,NAME,TEAM,SALARY
91,"T.J. Ford, PG",Indiana Pacers,"$8,000,000"
92,"Devin Harris, G",New Jersey Nets,"$7,800,000"
