Unnamed: 0,Player,2021/22,2021/22(*)
1.0,Stephen Curry,"$45,780,966","$51,411,079"
2.0,John Wall,"$44,310,840","$49,760,158"
2.0,James Harden,"$44,310,840","$49,760,158"
4.0,Russell Westbrook,"$44,211,146","$49,648,204"
5.0,Kevin Durant,"$42,018,900","$47,186,357"
6.0,LeBron James,"$41,180,544","$46,244,900"
7.0,Paul George,"$39,344,970","$44,183,589"
8.0,Kawhi Leonard,"$39,344,900","$44,183,510"
8.0,Giannis Antetokounmpo,"$39,344,900","$44,183,510"
8.0,Damian Lillard,"$39,344,900","$44,183,510"
11.0,Klay Thompson,"$37,980,720","$42,651,564"
12.0,Jimmy Butler,"$36,016,200","$40,445,449"
13.0,Tobias Harris,"$35,995,950","$40,422,708"
14.0,Khris Middleton,"$35,500,000","$39,865,767"
15.0,Anthony Davis,"$35,361,360","$39,710,077"
16.0,Rudy Gobert,"$35,344,828","$39,691,512"
17.0,Kyrie Irving,"$35,328,700","$39,673,400"
18.0,Kemba Walker,"$34,967,442","$39,267,715"
19.0,Bradley Beal,"$33,724,200","$37,871,580"
20.0,Ben Simmons,"$33,003,936","$37,062,738"
20.0,Pascal Siakam,"$33,003,936","$37,062,738"
22.0,Blake Griffin,"$32,405,817","$36,391,063"
23.0,Karl-Anthony Towns,"$31,650,600","$35,542,970"
23.0,Devin Booker,"$31,650,600","$35,542,970"
23.0,Kristaps Porzingis,"$31,650,600","$35,542,970"
26.0,Andrew Wiggins,"$31,579,390","$35,463,003"
26.0,Joel Embiid,"$31,579,390","$35,463,003"
28.0,Kevin Love,"$31,258,256","$35,102,376"
29.0,Jrue Holiday,"$31,171,333","$35,004,763"
30.0,Nikola Jokic,"$31,044,906","$34,862,788"
31.0,CJ McCollum,"$30,864,198","$34,659,857"
32.0,Chris Paul,"$30,800,000","$34,587,764"
33.0,D'Angelo Russell,"$30,013,500","$33,704,540"
34.0,Gordon Hayward,"$29,925,000","$33,605,157"
35.0,Jamal Murray,"$29,467,800","$33,091,731"
35.0,Brandon Ingram,"$29,467,800","$33,091,731"
37.0,Jayson Tatum,"$28,103,500","$31,559,650"
37.0,Bam Adebayo,"$28,103,500","$31,559,650"
37.0,De'Aaron Fox,"$28,103,500","$31,559,650"
37.0,Donovan Mitchell,"$28,103,500","$31,559,650"
41.0,Al Horford,"$27,000,000","$30,320,442"
42.0,Kyle Lowry,"$26,984,128","$30,302,618"
43.0,Jaylen Brown,"$26,758,928","$30,049,723"
44.0,DeMar DeRozan,"$26,000,000","$29,197,463"
45.0,Draymond Green,"$24,026,712","$26,981,501"
46.0,Nikola Vucevic,"$24,000,000","$26,951,504"
47.0,Buddy Hield,"$23,073,234","$25,910,765"
48.0,John Collins,"$23,000,000","$25,828,525"
49.0,Malcolm Brogdon,"$21,700,000","$24,368,652"
50.0,Tim Hardaway Jr,"$21,306,816","$23,927,114"
51.0,Mike Conley,"$21,000,000","$23,582,566"
52.0,Gary Harris,"$20,932,143","$23,506,364"
53.0,Danilo Gallinari,"$20,475,000","$22,993,002"
54.0,Harrison Barnes,"$20,284,091","$22,778,615"
55.0,Jerami Grant,"$20,002,500","$22,462,394"
56.0,Jarrett Allen,"$20,000,000","$22,459,587"
57.0,Julius Randle,"$19,800,000","$22,234,991"
58.0,Fred VanVleet,"$19,675,926","$22,095,658"
59.0,Zach LaVine,"$19,500,000","$21,898,097"
60.0,Goran Dragic,"$19,348,907","$21,728,422"
61.0,Spencer Dinwiddie,"$19,314,284","$21,689,542"
62.0,Bojan Bogdanovic,"$18,700,000","$20,999,714"
63.0,Lonzo Ball,"$18,604,651","$20,892,639"
64.0,Domantas Sabonis,"$18,500,000","$20,775,118"
65.0,Eric Gordon,"$18,218,818","$20,459,356"
66.0,Eric Bledsoe,"$18,125,000","$20,354,000"
67.0,Bogdan Bogdanovic,"$18,000,000","$20,213,628"
67.0,Myles Turner,"$18,000,000","$20,213,628"
69.0,Terry Rozier,"$17,905,263","$20,107,240"
70.0,Ricky Rubio,"$17,800,000","$19,989,032"
71.0,Clint Capela,"$17,603,448","$19,768,308"
72.0,Caris LeVert,"$17,500,000","$19,652,138"
73.0,Jonathan Isaac,"$17,400,000","$19,539,840"
74.0,Joe Harris,"$17,357,143","$19,491,713"
75.0,Evan Fournier,"$17,142,857","$19,251,074"
76.0,Steven Adams,"$17,073,171","$19,172,818"
77.0,Markelle Fultz,"$16,500,000","$18,529,159"
78.0,Aaron Gordon,"$16,409,091","$18,427,070"
79.0,Gary Trent Jr,"$16,225,000","$18,220,340"
80.0,OG Anunoby,"$16,071,429","$18,047,883"
81.0,Davis Bertans,"$16,000,000","$17,967,669"
82.0,Lauri Markkanen,"$15,690,909","$17,620,566"
83.0,Derrick White,"$15,678,571","$17,606,711"
84.0,Duncan Robinson,"$15,650,000","$17,574,626"
85.0,Marcus Morris,"$15,627,907","$17,549,816"
86.0,Will Barton,"$15,625,000","$17,546,552"
87.0,Norman Powell,"$15,517,242","$17,425,542"
88.0,Dejounte Murray,"$15,428,880","$17,326,313"
89.0,Malik Beasley,"$14,491,964","$16,274,176"
90.0,Patrick Beverley,"$14,320,987","$16,082,172"
91.0,Thaddeus Young,"$14,190,000","$15,935,077"
92.0,Jonas Valanciunas,"$14,000,000","$15,721,711"
93.0,Marcus Smart,"$13,839,285","$15,541,231"
94.0,Doug McDermott,"$13,750,000","$15,440,966"
95.0,Christian Wood,"$13,666,667","$15,347,384"
96.0,Derrick Rose,"$13,445,120","$15,098,592"
97.0,Luke Kennard,"$13,347,727","$14,989,221"
98.0,Taurean Prince,"$13,334,375","$14,974,227"
99.0,Brook Lopez,"$13,302,325","$14,938,236"
100.0,Kentavious Caldwell-Pope,"$13,038,862","$14,642,372"
101.0,Joe Ingles,"$13,036,364","$14,639,567"
102.0,Kyle Kuzma,"$13,000,000","$14,598,731"
103.0,Robert Covington,"$12,975,471","$14,571,186"
104.0,TJ Warren,"$12,940,000","$14,531,352"
105.0,Deandre Ayton,"$12,632,950","$14,186,542"
106.0,Terrence Ross,"$12,500,000","$14,037,241"
107.0,Jordan Clarkson,"$12,420,000","$13,947,403"
108.0,Dillon Brooks,"$12,200,000","$13,700,348"
109.0,Kelly Olynyk,"$12,195,122","$13,694,870"
110.0,Nicolas Batum,"$12,026,998","$13,506,070"
111.0,Kelly Oubre,"$12,000,000","$13,475,752"
111.0,Jusuf Nurkic,"$12,000,000","$13,475,752"
111.0,Josh Hart,"$12,000,000","$13,475,752"
114.0,Josh Richardson,"$11,615,328","$13,043,773"
115.0,Marvin Bagley,"$11,312,114","$12,703,270"
116.0,DeAndre Jordan,"$11,109,327","$12,475,544"
117.0,Dwight Powell,"$11,080,125","$12,442,751"
118.0,Devonte Graham,"$11,000,000","$12,352,772"
119.0,Zion Williamson,"$10,733,400","$12,053,386"
120.0,Larry Nance Jr,"$10,690,909","$12,005,670"
121.0,Jeremy Lamb,"$10,500,000","$11,791,283"
122.0,Reggie Jackson,"$10,384,500","$11,661,579"
122.0,Richaun Holmes,"$10,384,500","$11,661,579"
124.0,Al-Farouq Aminu,"$10,335,621","$11,606,688"
125.0,Anthony Edwards,"$10,245,480","$11,505,462"
126.0,Luka Doncic,"$10,174,391","$11,425,631"
127.0,Cade Cunningham,"$10,050,120","$11,286,077"
128.0,Danny Green,"$10,000,000","$11,229,793"
128.0,Tomas Satoransky,"$10,000,000","$11,229,792"
130.0,Tristan Thompson,"$9,946,611","$11,169,838"
131.0,Kyle Anderson,"$9,937,150","$11,159,214"
132.0,Montrezl Harrell,"$9,720,900","$10,916,370"
132.0,Derrick Jones,"$9,720,900","$10,916,370"
132.0,Serge Ibaka,"$9,720,900","$10,916,370"
132.0,Derrick Favors,"$9,720,900","$10,916,370"
132.0,Jae Crowder,"$9,720,900","$10,916,370"
137.0,Ja Morant,"$9,603,360","$10,784,375"
138.0,Reggie Bullock,"$9,536,000","$10,708,731"
138.0,Alec Burks,"$9,536,000","$10,708,731"
140.0,Talen Horton-Tucker,"$9,500,000","$10,668,303"
141.0,Mason Plumlee,"$9,248,333","$10,385,687"
142.0,Jaren Jackson Jr,"$9,180,560","$10,309,579"
143.0,James Wiseman,"$9,166,800","$10,294,127"
144.0,Jalen Green,"$8,992,080","$10,097,920"
145.0,De'Anthony Melton,"$8,805,976","$9,888,929"
146.0,Nerlens Noel,"$8,800,000","$9,882,218"
146.0,Royce O'Neale,"$8,800,000","$9,882,218"
148.0,Maxi Kleber,"$8,750,000","$9,826,069"
148.0,Jakob Poeltl,"$8,750,000","$9,826,069"
150.0,Thomas Bryant,"$8,666,667","$9,732,488"
151.0,RJ Barrett,"$8,623,920","$9,684,484"
152.0,Alex Caruso,"$8,600,000","$9,657,622"
153.0,Delon Wright,"$8,526,316","$9,574,876"
154.0,Dario Saric,"$8,510,000","$9,556,554"
155.0,Monte Morris,"$8,449,074","$9,488,135"
156.0,Tyus Jones,"$8,376,286","$9,406,396"
157.0,Trae Young,"$8,326,471","$9,350,455"
158.0,Daniel Theis,"$8,280,351","$9,298,663"
159.0,LaMelo Ball,"$8,231,760","$9,244,096"
160.0,Seth Curry,"$8,207,518","$9,216,873"
161.0,JaMychal Green,"$8,200,000","$9,208,430"
162.0,Cedi Osman,"$8,133,334","$9,133,566"
163.0,Evan Mobley,"$8,075,160","$9,068,238"
164.0,De'Andre Hunter,"$7,775,400","$8,731,613"
165.0,DJ Augustin,"$7,622,467","$8,559,872"
166.0,Mo Bamba,"$7,568,743","$8,499,542"
167.0,Ivica Zubac,"$7,518,518","$8,443,140"
168.0,Rajon Rondo,"$7,500,000","$8,422,344"
168.0,TJ McConnell,"$7,500,000","$8,422,345"
170.0,Patrick Williams,"$7,422,000","$8,334,752"
171.0,Cory Joseph,"$7,310,000","$8,208,979"
172.0,Scottie Barnes,"$7,280,400","$8,175,738"
173.0,Darius Garland,"$7,040,880","$7,906,762"
174.0,Chris Boucher,"$7,020,000","$7,883,315"
175.0,PJ Tucker,"$7,000,000","$7,860,855"
175.0,Zach Collins,"$7,000,000","$7,860,855"
177.0,Wendell Carter,"$6,920,027","$7,771,047"
178.0,Juan Hernangomez,"$6,803,190","$7,639,841"
179.0,Isaac Okoro,"$6,720,720","$7,547,229"
180.0,Jalen Suggs,"$6,592,920","$7,403,713"
181.0,Cameron Payne,"$6,500,000","$7,299,365"
182.0,Joakim Noah,"$6,431,666","$7,222,628"
183.0,Jarrett Culver,"$6,395,160","$7,181,632"
184.0,Khem Birch,"$6,350,000","$7,130,918"
185.0,Collin Sexton,"$6,349,671","$7,130,549"
186.0,Onyeka Okongwu,"$6,104,280","$6,854,980"
187.0,Justin Holiday,"$6,006,420","$6,745,085"
188.0,Josh Giddey,"$5,988,000","$6,724,400"
189.0,Patrick Mills,"$5,890,000","$6,614,348"
189.0,Dennis Schroeder,"$5,890,000","$6,614,348"
189.0,Rudy Gay,"$5,890,000","$6,614,348"
192.0,Kevin Knox,"$5,845,978","$6,564,912"
193.0,Coby White,"$5,837,760","$6,555,683"
194.0,Timofey Mozgov,"$5,573,333","$6,258,737"
195.0,Killian Hayes,"$5,572,680","$6,258,004"
196.0,Mikal Bridges,"$5,557,725","$6,241,210"
197.0,Shai Gilgeous-Alexander,"$5,495,532","$6,171,369"
198.0,Jonathan Kuminga,"$5,466,360","$6,138,609"
199.0,Miles Bridges,"$5,421,493","$6,088,224"
200.0,Jaxson Hayes,"$5,348,280","$6,006,008"
201.0,Pat Connaughton,"$5,333,334","$5,989,223"
202.0,Kris Dunn,"$5,317,430","$5,971,363"
203.0,George Hill,"$5,275,491","$5,924,267"
204.0,Michael Porter,"$5,258,735","$5,905,450"
205.0,Dewayne Dedmon,"$5,256,308","$5,902,724"
206.0,Ryan Anderson,"$5,214,583","$5,855,869"
207.0,Hamidou Diallo,"$5,200,000","$5,839,492"
208.0,Kevon Looney,"$5,178,572","$5,815,429"
209.0,Troy Brown,"$5,170,564","$5,806,436"
210.0,Obi Toppin,"$5,105,160","$5,732,989"
211.0,Franz Wagner,"$5,007,840","$5,623,700"
