StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
36788,1,20000438,1,2015,Paul Pierce,WAS,SF,73,20000001,2017-11-07T10:35:39,73,2170.8,2797,60,428.4,959.1,65.4,78.5,255.8,516.1,72.5,172.5,443.0,56.9,239.8,307.0,114.2,65.8,364.0,429.8,5.8,21.0,12.6,210.5,67.3,35.1,134.5,233.9,1269.0,1094.2,84.8,22.9,17.4,2.7,2.1,16.0,29.3,2273.1,2350.2,2273.1,238.3,4.3,0.0,,False,,Scrambled
36850,1,20000439,1,2015,Nene Hilario,WAS,C,58,20000001,2017-11-07T10:35:39,67,2028.5,2475,45,448.8,878.7,74.7,74.9,447.4,871.4,75.0,2.1,10.7,29.2,178.4,295.3,88.3,122.8,381.6,504.4,12.2,24.8,16.8,179.8,96.5,32.2,181.3,263.2,1077.5,1008.6,78.1,21.6,17.5,4.3,2.2,22.3,32.1,2157.2,2149.5,2157.2,242.7,4.3,0.0,,False,,Scrambled
37164,1,20000440,1,2015,Marcin Gortat,WAS,C,82,20000001,2017-11-07T10:35:39,82,3252.8,3585,70,641.8,1133.0,82.7,82.7,641.8,1128.7,83.2,0.0,6.4,0.0,179.8,255.8,102.8,263.2,785.1,1048.3,12.4,35.3,24.1,141.8,71.6,160.8,146.2,279.2,1463.5,1245.6,85.8,27.3,13.9,2.2,7.7,15.4,25.9,3485.3,3426.6,3485.3,374.3,32.2,0.0,,False,,Scrambled
36713,1,20000441,1,2015,Bradley Beal,WAS,SG,59,20000001,2017-11-07T10:35:39,63,2349.7,3080,42,530.7,1244.2,62.4,71.5,375.7,865.5,63.5,155.0,378.7,59.8,190.1,242.7,114.5,83.3,269.0,352.3,6.6,14.1,13.8,283.6,111.1,26.3,179.8,198.8,1406.4,1350.9,76.2,21.1,21.9,4.0,1.5,17.2,33.2,2487.2,2539.1,2487.2,280.7,4.3,0.0,,False,,Scrambled
36903,1,20000442,1,2015,John Wall,WAS,PG,79,20000001,2017-11-07T10:35:39,79,4497.4,4146,47,758.8,1704.7,65.1,69.2,663.7,1387.4,69.9,95.0,317.3,43.9,415.2,529.2,114.8,52.6,482.5,535.1,3.1,18.7,10.6,1157.9,201.8,65.8,444.4,263.2,2027.8,1937.6,76.5,29.8,67.6,5.4,2.7,27.3,38.3,4765.0,4881.6,4765.0,407.9,58.5,0.0,,False,,Scrambled
37092,1,20000443,1,2015,Otto Porter,WAS,SF,13,20000001,2017-11-07T10:35:39,74,1321.2,2094,2,257.3,571.6,65.8,72.5,206.1,419.6,71.8,51.2,152.0,49.3,84.8,115.5,107.3,102.3,220.8,323.1,12.0,17.0,12.7,95.0,64.3,43.9,76.0,141.8,650.6,622.5,76.3,17.4,10.0,3.4,3.6,15.9,22.3,1429.4,1401.0,1429.4,-52.6,0.0,0.0,,False,,Scrambled
36783,1,20000444,1,2015,Drew Gooden,WAS,PF,7,20000001,2017-11-07T10:35:39,51,950.4,1262,61,160.8,403.5,58.3,64.6,127.2,317.3,58.6,33.6,86.3,57.0,49.7,64.3,113.0,105.3,220.8,326.0,14.0,28.2,21.3,71.6,30.7,13.2,40.9,133.0,405.0,431.8,68.6,18.1,12.6,2.7,1.8,12.6,25.0,994.3,1008.4,994.3,0.0,4.3,0.0,,False,,Scrambled
36959,1,20000445,1,2015,Ramon Sessions,WAS,PG,10,20000001,2017-11-07T10:35:39,64,1198.5,1737,11,182.8,488.3,54.7,58.6,155.0,400.6,56.6,27.8,87.7,46.3,194.4,252.9,112.4,33.6,176.9,210.5,4.9,16.3,10.0,266.1,42.4,0.0,125.7,106.7,587.7,599.6,71.6,16.8,34.3,2.6,0.0,25.3,27.1,1240.9,1285.8,1240.9,-236.8,0.0,0.0,,False,,Scrambled
37146,1,20000446,1,2015,Kevin Seraphin,WAS,C,0,20000001,2017-11-07T10:35:39,79,1453.4,1806,15,337.7,657.9,75.0,75.0,337.7,655.0,75.4,0.0,4.3,0.0,84.8,119.9,103.4,127.2,293.9,421.1,11.9,26.2,19.2,86.3,14.6,86.3,143.3,288.0,760.2,710.6,78.2,19.0,11.6,0.9,8.2,24.5,31.5,1554.3,1548.3,1554.3,-232.5,2.1,0.0,,False,,Scrambled
36712,1,20000447,1,2015,Rasual Butler,WAS,SF,1,20000001,2017-11-07T10:35:39,75,1410.7,2199,60,318.7,755.9,61.7,74.7,185.7,412.3,65.8,133.0,343.6,56.6,77.5,98.0,115.6,39.5,248.5,288.0,4.4,18.2,10.8,92.1,42.4,32.2,70.2,143.3,848.0,799.0,77.6,17.3,13.9,2.1,2.5,11.8,26.4,1485.2,1526.7,1485.2,-80.4,0.0,0.0,,False,,Scrambled
