Year,Salary Cap,Salary Cap in 2022 Dollars
1984-85,"$3,600,000 ","$9,793,069 "
1985-86,"$4,233,000 ","$11,298,280 "
1986-87,"$4,945,000 ","$12,734,751 "
1987-88,"$6,164,000 ","$15,248,702 "
1988-89,"$7,232,000 ","$17,069,461 "
1989-90,"$9,802,000 ","$21,950,887 "
1990-91,"$11,871,000 ","$25,499,592 "
1991-92,"$12,500,000 ","$26,061,180 "
1992-93,"$14,000,000 ","$28,354,756 "
1993-94,"$15,175,000 ","$29,954,782 "
1994-95,"$15,964,000 ","$30,651,995 "
1995-96,"$23,000,000 ","$42,906,004 "
1996-97,"$24,363,000 ","$44,402,880 "
1997-98,"$26,900,000 ","$48,285,994 "
1998-99,"$30,000,000 ","$52,688,773 "
1999-00,"$34,000,000 ","$57,763,864 "
2000-01,"$35,500,000 ","$58,657,395 "
2001-02,"$42,500,000 ","$69,132,284 "
2002-03,"$40,271,000 ","$64,048,956 "
2003-04,"$43,840,000 ","$67,907,202 "
2004-05,"$43,870,000 ","$65,719,039 "
2005-06,"$49,500,000 ","$71,839,551 "
2006-07,"$53,135,000 ","$74,973,988 "
2007-08,"$55,630,000 ","$75,594,893 "
2008-09,"$58,680,000 ","$80,023,973 "
2009-10,"$57,700,000 ","$77,414,680 "
2010-11,"$58,044,000 ","$75,491,545 "
2011-12,"$58,044,000 ","$73,970,553 "
2012-13,"$58,044,000 ","$72,903,264 "
2013-14,"$58,679,000 ","$72,519,787 "
2014-15,"$63,065,000 ","$77,841,847 "
2015-16,"$70,000,000 ","$85,323,721 "
2016-17,"$94,143,000 ","$112,368,348 "
2017-18,"$99,093,000 ","$115,455,294 "
2018-19,"$101,869,000 ","$116,573,245 "
2019-20,"$109,140,000 ","$123,384,194 "
2020-21,"$109,140,000 ","$117,838,496 "
2021-22,"$112,414,000 ","$112,414,000 "
2022-23,"$123,655,000 ","$123,655,000 "
