Unnamed: 0,Player,2001/02,2001/02(*)
1.0,Kevin Garnett,"$22,400,000","$38,395,739"
2.0,Shaquille O'Neal,"$21,428,572","$36,730,618"
3.0,Alonzo Mourning,"$18,754,800","$32,147,518"
4.0,Juwan Howard,"$18,750,000","$32,139,290"
5.0,Scottie Pippen,"$18,083,564","$30,996,955"
6.0,Karl Malone,"$17,500,000","$29,996,671"
7.0,Jayson Williams,"$15,125,000","$25,925,694"
8.0,Rasheed Wallace,"$14,400,000","$24,682,975"
9.0,Dikembe Mutombo,"$14,315,790","$24,538,631"
10.0,Gary Payton,"$12,926,493","$22,157,243"
11.0,Allan Houston,"$12,750,000","$21,854,717"
11.0,Chris Webber,"$12,750,000","$21,854,717"
13.0,Shawn Kemp,"$12,660,000","$21,700,449"
14.0,Damon Stoudamire,"$12,375,000","$21,211,931"
15.0,Reggie Miller,"$12,045,075","$20,646,408"
16.0,Antonio McDyess,"$11,700,000","$20,054,917"
17.0,Bryant Reeves,"$11,555,554","$19,807,323"
18.0,Larry Johnson,"$11,335,714","$19,430,496"
19.0,Shareef Abdur-Rahim,"$11,250,000","$19,283,574"
19.0,Antoine Walker,"$11,250,000","$19,283,574"
19.0,Zydrunas Ilgauskas,"$11,250,000","$19,283,574"
19.0,Kobe Bryant,"$11,250,000","$19,283,574"
19.0,Ray Allen,"$11,250,000","$19,283,574"
19.0,Latrell Sprewell,"$11,250,000","$19,283,574"
19.0,Vin Baker,"$11,250,000","$19,283,574"
19.0,Allen Iverson,"$11,250,000","$19,283,574"
19.0,Anfernee Hardaway,"$11,250,000","$19,283,574"
19.0,Stephon Marbury,"$11,250,000","$19,283,574"
29.0,Mitch Richmond,"$11,000,000","$18,855,050"
29.0,Antonio Davis,"$11,000,000","$18,855,050"
31.0,Keith Van Horn,"$10,865,250","$18,624,076"
31.0,Jalen Rose,"$10,865,250","$18,624,076"
31.0,Grant Hill,"$10,865,250","$18,624,076"
31.0,Tracy McGrady,"$10,865,250","$18,624,076"
31.0,Tim Duncan,"$10,865,250","$18,624,076"
36.0,Michael Finley,"$10,625,000","$18,212,264"
37.0,Vlade Divac,"$10,444,642","$17,903,113"
38.0,Nick Van Exel,"$10,164,642","$17,423,167"
39.0,Tom Gugliotta,"$10,114,000","$17,336,361"
40.0,Eddie Jones,"$10,091,250","$17,297,366"
41.0,Brian Grant,"$9,925,076","$17,012,528"
42.0,Tim Thomas,"$9,675,000","$16,583,874"
43.0,Theo Ratliff,"$9,667,969","$16,571,822"
44.0,David Robinson,"$9,500,000","$16,283,907"
45.0,Terrell Brandon,"$9,300,000","$15,941,088"
46.0,Steve Smith,"$9,000,000","$15,426,859"
47.0,Glenn Robinson,"$8,990,000","$15,409,718"
48.0,Glen Rice,"$8,800,000","$15,084,040"
49.0,Derrick Coleman,"$8,710,000","$14,929,771"
50.0,Jason Kidd,"$8,447,500","$14,479,821"
51.0,Kenny Anderson,"$8,350,000","$14,312,697"
52.0,Kerry Kittles,"$8,166,667","$13,998,447"
53.0,Matt Geiger,"$8,142,160","$13,956,439"
54.0,Elden Campbell,"$7,975,000","$13,669,911"
55.0,Toni Kukoc,"$7,906,783","$13,552,981"
56.0,Clifford Robinson,"$7,656,250","$13,123,543"
57.0,Marcus Camby,"$7,300,000","$12,512,897"
58.0,Chris Dudley,"$7,200,000","$12,341,487"
59.0,Dale Davis,"$7,010,000","$12,015,809"
60.0,John Stockton,"$7,000,000","$11,998,668"
61.0,Jamal Mashburn,"$6,975,000","$11,955,816"
62.0,Greg Ostertag,"$6,933,328","$11,884,386"
63.0,Ron Mercer,"$6,750,000","$11,570,144"
64.0,Tyrone Hill,"$6,600,000","$11,313,030"
65.0,Charles Oakley,"$6,545,000","$11,218,755"
66.0,Donyell Marshall,"$6,510,000","$11,158,761"
67.0,Alan Henderson,"$6,500,312","$11,142,155"
68.0,Maurice Taylor,"$6,500,000","$11,141,620"
69.0,Derek Anderson,"$6,495,000","$11,133,050"
70.0,PJ Brown,"$6,404,800","$10,978,438"
71.0,Jermaine O'Neal,"$6,325,000","$10,841,654"
71.0,Luc Longley,"$6,325,000","$10,841,654"
73.0,Austin Croshere,"$6,310,000","$10,815,942"
74.0,Wesley Person,"$6,300,000","$10,798,801"
75.0,Erick Dampier,"$6,235,000","$10,687,385"
76.0,Kelvin Cato,"$6,048,000","$10,366,849"
77.0,Jim McIlvaine,"$6,000,000","$10,284,573"
77.0,Derrick McKey,"$6,000,000","$10,284,573"
77.0,Bo Outlaw,"$6,000,000","$10,284,573"
80.0,Jerry Stackhouse,"$5,843,750","$10,016,745"
81.0,Steve Nash,"$5,750,000","$9,856,049"
82.0,Isaac Austin,"$5,695,715","$9,762,999"
83.0,Lorenzen Wright,"$5,500,000","$9,427,525"
83.0,Shandon Anderson,"$5,500,000","$9,427,525"
85.0,Nick Anderson,"$5,401,906","$9,259,382"
86.0,Chris Mills,"$5,400,000","$9,256,115"
86.0,Mookie Blaylock,"$5,400,000","$9,256,115"
88.0,Alvin Williams,"$5,350,000","$9,170,410"
89.0,Robert Horry,"$5,300,000","$9,084,706"
90.0,Loy Vaught,"$5,222,025","$8,951,049"
91.0,Bobby Phills,"$5,220,000","$8,947,578"
92.0,Bob Sura,"$5,213,333","$8,936,150"
93.0,Doug Christie,"$5,200,000","$8,913,296"
93.0,Chris Childs,"$5,200,000","$8,913,296"
95.0,Eddie Robinson,"$5,170,000","$8,861,873"
96.0,Bryon Russell,"$5,142,857","$8,815,348"
97.0,Charlie Ward,"$5,110,000","$8,759,028"
98.0,Tariq Abdul-Wahad,"$5,062,500","$8,677,608"
99.0,Hakeem Olajuwon,"$5,061,539","$8,675,961"
100.0,Walt Williams,"$5,000,000","$8,570,477"
100.0,Predrag Stojakovic,"$5,000,000","$8,570,477"
100.0,Jerome Williams,"$5,000,000","$8,570,477"
103.0,Jason Caffey,"$4,812,500","$8,249,084"
104.0,Howard Eisley,"$4,781,250","$8,195,519"
105.0,Vitaly Potapenko,"$4,762,500","$8,163,379"
106.0,Rod Strickland,"$4,750,000","$8,141,953"
107.0,Ben Wallace,"$4,700,000","$8,056,248"
108.0,Brent Barry,"$4,680,000","$8,021,966"
109.0,Michael Olowokandi,"$4,662,472","$7,991,922"
110.0,Scott Williams,"$4,650,000","$7,970,544"
111.0,Danny Fortson,"$4,649,534","$7,969,745"
112.0,Clarence Weatherspoon,"$4,638,000","$7,949,974"
113.0,Calvin Booth,"$4,539,000","$7,780,279"
114.0,Todd MacCulloch,"$4,538,000","$7,778,565"
114.0,Avery Johnson,"$4,538,000","$7,778,565"
114.0,Anthony Mason,"$4,538,000","$7,778,565"
114.0,Joe Smith,"$4,538,000","$7,778,565"
114.0,Ruben Patterson,"$4,538,000","$7,778,565"
119.0,Nazr Mohammed,"$4,500,000","$7,713,429"
119.0,Shawn Bradley,"$4,500,000","$7,713,429"
119.0,Brevin Knight,"$4,500,000","$7,713,429"
119.0,Christian Laettner,"$4,500,000","$7,713,429"
123.0,Eric Williams,"$4,448,000","$7,624,296"
124.0,Cuttino Mobley,"$4,413,375","$7,564,946"
124.0,Kurt Thomas,"$4,413,375","$7,564,946"
124.0,Rashard Lewis,"$4,413,375","$7,564,946"
124.0,Jahidi White,"$4,413,375","$7,564,946"
128.0,Brad Miller,"$4,400,000","$7,542,020"
128.0,Adonal Foyle,"$4,400,000","$7,542,020"
130.0,Sam Cassell,"$4,350,000","$7,456,315"
131.0,Scot Pollard,"$4,344,187","$7,446,351"
132.0,Voshon Lenard,"$4,252,435","$7,289,079"
133.0,Mike Bibby,"$4,174,893","$7,156,165"
134.0,Darrell Armstrong,"$4,005,000","$6,864,952"
135.0,Corliss Williamson,"$4,000,000","$6,856,382"
135.0,Aaron McKie,"$4,000,000","$6,856,382"
137.0,Elton Brand,"$3,882,360","$6,654,735"
138.0,Derek Strong,"$3,861,000","$6,618,122"
139.0,Mark Jackson,"$3,860,000","$6,616,408"
140.0,Rex Chapman,"$3,850,000","$6,599,267"
141.0,Michael Stewart,"$3,840,000","$6,582,126"
142.0,Kenyon Martin,"$3,801,960","$6,516,922"
143.0,Rick Fox,"$3,791,250","$6,498,564"
144.0,Raef LaFrentz,"$3,755,142","$6,436,672"
145.0,Lamond Murray,"$3,750,000","$6,427,858"
145.0,Eric Snow,"$3,750,000","$6,427,858"
147.0,Kwame Brown,"$3,697,440","$6,337,765"
148.0,Brent Price,"$3,680,000","$6,307,871"
149.0,Ervin Johnson,"$3,670,929","$6,292,322"
150.0,Tony Battie,"$3,600,000","$6,170,743"
150.0,Moochie Norris,"$3,600,000","$6,170,743"
150.0,Travis Knight,"$3,600,000","$6,170,743"
150.0,Jud Buechler,"$3,600,000","$6,170,743"
154.0,Zeljko Rebraca,"$3,500,000","$5,999,334"
155.0,Steve Francis,"$3,473,520","$5,953,945"
156.0,Lindsey Hunter,"$3,425,760","$5,872,079"
157.0,Stromile Swift,"$3,401,640","$5,830,735"
158.0,Tracy Murray,"$3,400,000","$5,827,924"
159.0,Antawn Jamison,"$3,388,176","$5,807,657"
160.0,Travis Best,"$3,375,000","$5,785,072"
161.0,Tim Hardaway,"$3,360,390","$5,760,029"
162.0,Tyson Chandler,"$3,308,160","$5,670,502"
163.0,Chucky Atkins,"$3,300,000","$5,656,515"
164.0,Tyrone Nesby,"$3,260,000","$5,587,951"
165.0,Marc Jackson,"$3,250,000","$5,570,810"
165.0,Anthony Carter,"$3,250,000","$5,570,810"
167.0,David Wesley,"$3,240,000","$5,553,669"
167.0,Dean Garrett,"$3,240,000","$5,553,669"
169.0,Jon Barry,"$3,175,000","$5,442,253"
170.0,Walter McCarty,"$3,125,000","$5,356,548"
171.0,Baron Davis,"$3,119,400","$5,346,949"
172.0,Vince Carter,"$3,073,032","$5,267,470"
173.0,Darius Miles,"$3,054,840","$5,236,287"
174.0,Evan Eschmeyer,"$3,038,000","$5,207,422"
175.0,Lawrence Funderburke,"$3,025,000","$5,185,138"
176.0,Jaren Jackson Jr,"$3,020,834","$5,177,997"
177.0,Greg Anthony,"$3,000,000","$5,142,286"
177.0,Cedric Henderson,"$3,000,000","$5,142,286"
177.0,Kevin Willis,"$3,000,000","$5,142,286"
177.0,Eric Piatkowski,"$3,000,000","$5,142,286"
177.0,Derek Fisher,"$3,000,000","$5,142,286"
177.0,LaPhonso Ellis,"$3,000,000","$5,142,286"
177.0,Antonio Daniels,"$3,000,000","$5,142,286"
184.0,Anthony Peeler,"$2,978,500","$5,105,433"
185.0,Pau Gasol,"$2,970,840","$5,092,303"
186.0,Andrew DeClercq,"$2,900,000","$4,970,876"
187.0,Lamar Odom,"$2,812,320","$4,820,585"
188.0,Robert Traylor,"$2,793,505","$4,788,334"
189.0,Marcus Fizer,"$2,754,120","$4,720,824"
190.0,Chris Whitney,"$2,700,000","$4,628,057"
191.0,Eddy Curry,"$2,678,400","$4,591,033"
192.0,Johnny Newman,"$2,675,000","$4,585,204"
193.0,John Wallace,"$2,630,000","$4,508,071"
194.0,Jason Williams,"$2,554,072","$4,377,923"
195.0,Jonathan Bender,"$2,546,760","$4,365,389"
196.0,Matt Maloney,"$2,543,750","$4,360,230"
197.0,Mikki Moore,"$2,531,250","$4,338,804"
198.0,Chris Gatling,"$2,504,227","$4,292,484"
199.0,Chris Crawford,"$2,500,000","$4,285,238"
200.0,Mike Miller,"$2,494,080","$4,275,091"
201.0,Eric Montross,"$2,480,000","$4,250,956"
202.0,Randy Brown,"$2,475,000","$4,242,386"
202.0,Aaron Williams,"$2,475,000","$4,242,386"
