DATE,MEHOINUSA672N
1984-01-01,56780
1985-01-01,57860
1986-01-01,60010
1987-01-01,60760
1988-01-01,61210
1989-01-01,62260
1990-01-01,61500
1991-01-01,59710
1992-01-01,59210
1993-01-01,58920
1994-01-01,59550
1995-01-01,61440
1996-01-01,62350
1997-01-01,63640
1998-01-01,65980
1999-01-01,67650
2000-01-01,67470
2001-01-01,66360
2002-01-01,65820
2003-01-01,65860
2004-01-01,65760
2005-01-01,66780
2006-01-01,67520
2007-01-01,68610
2008-01-01,66280
2009-01-01,65850
2010-01-01,64300
2011-01-01,63350
2012-01-01,63350
2013-01-01,65740
2014-01-01,64900
2015-01-01,68410
2016-01-01,70840
2017-01-01,72090
2018-01-01,73030
2019-01-01,78250
2020-01-01,76660
2021-01-01,76330
2022-01-01,74580
